no,name,attributes,type_name,form_name,hp,atk,matk,def,mdef,spd,trait_name,trait_desc,bloodline_skill_names,own_skill_names,skill_stone_names,strong_against,weak_against,resist,resisted,detail_url,image
NO.001,迪莫,光,最终形态,原始形态,120,80,80,105,105,92,最好的伙伴,造成克制伤害后，获得攻防速+20%，并回复2能量。,星星撞击|恶能量|升龙咆哮|球状闪电|缠丝劲|火焰冲锋|幻象|花香|冷风|噬心|折线冲击|离子震荡|魅惑|星云漩涡|扬沙|溃烂触碰|泡沫|鹰爪,猛烈撞击|防御|闪光|魔法增效|光球|火焰箭|力量增效|棘突|潮涌|超导|闪光冲击|漫反射|冰爪|热砂|念力膨胀|放晴|过曝|光刃|折射|花香|火焰冲锋|泡沫|折线冲击|扬沙|冷风|升龙咆哮|球状闪电|溃烂触碰|噬心|缠丝劲|鹰爪|魅惑|幻象|恶能量|离子震荡|星云漩涡|有效预防|藤绞|氧输送|抽枝|闪燃|炎打|怒火|气泡|天洪|润泽|跺地|寒风吹|电弧|坍缩,借用|坍缩|天洪|寒风吹|怒火|抽枝|有效预防|气泡|氧输送|润泽|炎打|电弧|藤绞|跺地|闪燃,恶|幽,幽|草,恶|幻,草|冰,https://wiki.biligame.com/rocom/迪莫,https://lokewangguoshijie.com/pokemon/NO.001_迪莫.webp
NO.002,喵喵,草,Ⅰ阶,原始形态,65,66,66,49,91,33,氧循环,使用草系技能后，回复10%生命。,星星撞击|贪婪|升龙咆哮|麻痹|化劲|引燃|勾魂|荆棘爪|霜降|假寐|虹光冲击|啮合传递|甜心续航|超维投射|泥浆铠甲|溃烂触碰|蓄水|羽化加速,抓挠|休息回复|棘突|扫尾|藤绞|防御|徒长|叶绿光束|酶浓度调整|筛管奔流|盛开|孢子|仙人掌刺击|丰饶|光合作用|光能聚集|荆棘爪|引燃|蓄水|虹光冲击|泥浆铠甲|霜降|升龙咆哮|麻痹|溃烂触碰|假寐|化劲|羽化加速|甜心续航|勾魂|贪婪|啮合传递|超维投射|应激反应|精神扰乱|借用|晒太阳|摇篮曲|移花接木|纤维化|天光|透射|腐蚀酸液|毒孢子|剧毒|毒沼|瘴气喷射|腐化,借用|剧毒|天光|应激反应|摇篮曲|晒太阳|毒孢子|毒沼|瘴气喷射|移花接木|精神扰乱|纤维化|腐化|腐蚀酸液|透射|重击,水|地|光,火|冰|毒|虫|翼,水|地|电|光,火|龙|毒|虫|翼|机械,https://wiki.biligame.com/rocom/喵喵,https://lokewangguoshijie.com/pokemon/NO.002_喵喵.webp
NO.003,喵呜,草,Ⅱ阶,原始形态,86,87,87,65,121,44,氧循环,使用草系技能后，回复10%生命。,星星撞击|贪婪|升龙咆哮|麻痹|化劲|引燃|勾魂|荆棘爪|霜降|假寐|虹光冲击|啮合传递|甜心续航|超维投射|泥浆铠甲|溃烂触碰|蓄水|羽化加速,抓挠|休息回复|棘突|扫尾|藤绞|防御|徒长|叶绿光束|酶浓度调整|筛管奔流|盛开|孢子|仙人掌刺击|丰饶|光合作用|光能聚集|荆棘爪|引燃|蓄水|虹光冲击|泥浆铠甲|霜降|升龙咆哮|麻痹|溃烂触碰|假寐|化劲|羽化加速|甜心续航|勾魂|贪婪|啮合传递|超维投射|应激反应|精神扰乱|借用|晒太阳|摇篮曲|移花接木|纤维化|天光|透射|腐蚀酸液|毒孢子|剧毒|毒沼|瘴气喷射|腐化,借用|剧毒|天光|应激反应|摇篮曲|晒太阳|毒孢子|毒沼|瘴气喷射|移花接木|精神扰乱|纤维化|腐化|腐蚀酸液|透射|重击,水|地|光,火|冰|毒|虫|翼,水|地|电|光,火|龙|毒|虫|翼|机械,https://wiki.biligame.com/rocom/喵呜,https://lokewangguoshijie.com/pokemon/NO.003_喵呜.webp
NO.004,魔力猫,草,最终形态,原始形态,108,109,109,81,151,55,氧循环,使用草系技能后，回复10%生命。,星星撞击|贪婪|升龙咆哮|麻痹|化劲|引燃|勾魂|荆棘爪|霜降|假寐|虹光冲击|啮合传递|甜心续航|超维投射|泥浆铠甲|溃烂触碰|蓄水|羽化加速,抓挠|休息回复|棘突|扫尾|藤绞|防御|徒长|叶绿光束|酶浓度调整|筛管奔流|盛开|孢子|仙人掌刺击|丰饶|光合作用|光能聚集|荆棘爪|引燃|蓄水|虹光冲击|泥浆铠甲|霜降|升龙咆哮|麻痹|溃烂触碰|假寐|化劲|羽化加速|甜心续航|勾魂|贪婪|啮合传递|超维投射|应激反应|精神扰乱|借用|晒太阳|摇篮曲|移花接木|纤维化|天光|透射|腐蚀酸液|毒孢子|剧毒|毒沼|瘴气喷射|腐化,借用|剧毒|天光|应激反应|摇篮曲|晒太阳|毒孢子|毒沼|瘴气喷射|移花接木|精神扰乱|纤维化|腐化|腐蚀酸液|透射|重击,水|地|光,火|冰|毒|虫|翼,水|地|电|光,火|龙|毒|虫|翼|机械,https://wiki.biligame.com/rocom/魔力猫,https://lokewangguoshijie.com/pokemon/NO.004_魔力猫.webp
NO.005,火花,火,Ⅰ阶,原始形态,70,84,37,56,43,78,助燃,使用火系技能后，获得双攻+20%。,星星撞击|恶能量|升龙咆哮|球状闪电|缠丝劲|火焰箭|灵媒|花香|冰爪|噬心|透射|械斗|碰爪|星云漩涡|跺地|毒沼|泡沫|鹰爪,猛烈撞击|火苗|力量增效|火焰切割|防御|吹火|晒太阳|怒火|持续高温|火云车|热身|闪燃|山火|荆棘爪|引燃|蓄水|虹光冲击|泥浆铠甲|霜降|升龙咆哮|麻痹|溃烂触碰|假寐|化劲|羽化加速|甜心续航|勾魂|贪婪|啮合传递|超维投射|锐利眼神|精神扰乱|复写|压扁|龙之利爪|扇风|龙卷风|乘风|风矢|暗突袭|力量吞噬|诋毁,乘风|力量吞噬|压扁|复写|扇风|暗突袭|精神扰乱|诋毁|锐利眼神|阻断|风矢|龙之利爪|龙卷风,草|冰|虫|机械,水|地,草|冰|虫|机械|萌,水|地|龙,https://wiki.biligame.com/rocom/火花,https://lokewangguoshijie.com/pokemon/NO.005_火花.webp
NO.006,焰火,火,Ⅱ阶,原始形态,93,111,49,75,58,104,助燃,使用火系技能后，获得双攻+20%。,星星撞���|恶能量|升龙咆哮|球状闪电|缠丝劲|火焰箭|灵媒|花香|冰爪|噬心|透射|械斗|碰爪|星云漩涡|跺地|毒沼|泡沫|鹰爪,猛烈撞击|火苗|力量增效|火焰切割|防御|吹火|晒太阳|怒火|持续高温|火云车|热身|闪燃|山火|荆棘爪|引燃|蓄水|虹光冲击|泥浆铠甲|霜降|升龙咆哮|麻痹|溃烂触碰|假寐|化劲|羽化加速|甜心续航|勾魂|贪婪|啮合传递|超维投射|锐利眼神|精神扰乱|复写|压扁|龙之利爪|扇风|龙卷风|乘风|风矢|暗突袭|力量吞噬|诋毁,乘风|力量吞噬|压扁|复写|扇风|暗突袭|精神扰乱|诋毁|锐利眼神|阻断|风矢|龙之利爪|龙卷风,草|冰|虫|机械,水|地,草|冰|虫|机械|萌,水|地|龙,https://wiki.biligame.com/rocom/焰火,https://lokewangguoshijie.com/pokemon/NO.006_焰火.webp
NO.007,火神,火,最终形态,原始形态,117,139,61,94,72,130,助燃,使用火系技能后，获得双攻+20%。,星星撞击|恶能量|升龙咆哮|球状闪电|缠丝劲|火焰箭|灵媒|花香|冰爪|噬心|透射|械斗|碰爪|星云漩涡|跺地|毒沼|泡沫|鹰爪,猛烈撞击|火苗|力量增效|火焰切割|防御|吹火|晒太阳|怒火|持续高温|火云车|热身|闪燃|山火|荆棘爪|引燃|蓄水|虹光冲击|泥浆铠甲|霜降|升龙咆哮|麻痹|溃烂触碰|假寐|化劲|羽化加速|甜心续航|勾魂|贪婪|啮合传递|超维投射|锐利眼神|精神扰乱|复写|压扁|龙之利爪|扇风|龙卷风|乘风|风矢|暗突袭|力量吞噬|诋毁,乘风|力量吞噬|压扁|复写|扇风|暗突袭|精神扰乱|诋毁|锐利眼神|阻断|风矢|龙之利爪|龙卷风,草|冰|虫|机械,水|地,草|冰|虫|机械|萌,水|地|龙,https://wiki.biligame.com/rocom/火神,https://lokewangguoshijie.com/pokemon/NO.007_火神.webp
NO.008,水蓝蓝,水,Ⅰ阶,原始形态,75,35,76,56,79,51,浸润,使用水系技能后，全技能能耗-1。,防反|等价交换|升龙咆哮|集中|反击拳|火焰护盾|虚化|蜡质膜|雪替身|掩护|虹光冲击|离子震荡|魅惑|冥想|淤泥表皮|毒沼|水弹枪|羽翼庇护,防御|拍击|甩水|气泡|水炮|洗礼|泡沫幻影|涌泉|落雨|潮汐|天洪|蜡质膜|火焰护盾|水弹枪|虹光冲击|离子震荡|淤泥表皮|雪替身|升龙咆哮|集中|毒沼|掩护|反击拳|羽翼庇护|魅惑|虚化|等价交换|冥想|魔能爆|借用|有效预防|嗜痛|吓退|水波术|冰天雪地|冰墙|冷风|寒风吹|速冻|多维击打,借用|冰墙|冰天雪地|冷风|吓退|嗜痛|多维击打|寒风吹|有效预防|水波术|突袭|速冻|魔能爆,火|地|机械,草|电,火|机械,草|冰|龙,https://wiki.biligame.com/rocom/水蓝蓝,https://lokewangguoshijie.com/pokemon/NO.008_水蓝蓝.webp
NO.009,波波拉,水,Ⅱ阶,原始形态,100,46,102,75,106,68,浸润,使用水系技能后，全技能能耗-1。,防反|等价交换|升龙咆哮|集中|反击拳|火焰护盾|虚化|蜡质膜|雪替身|掩护|虹光冲击|离子震荡|魅惑|冥想|淤泥表皮|毒沼|水弹枪|羽翼庇护,防御|拍击|甩水|气泡|水炮|洗礼|泡沫幻影|涌泉|落雨|潮汐|天洪|蜡质膜|火焰护盾|水弹枪|虹光冲击|离子震荡|淤泥表皮|雪替身|升龙咆哮|集中|毒沼|掩护|反击拳|羽翼庇护|魅惑|虚化|等价交换|冥想|魔能爆|借用|有效预防|嗜痛|吓退|水波术|冰天雪地|冰墙|冷风|寒风吹|速冻|多维击打,借用|冰墙|冰天雪地|冷风|吓退|嗜痛|多维击打|寒风吹|有效预防|水波术|突袭|速冻|魔能爆,火|地|机械,草|电,火|机械,草|冰|龙,https://wiki.biligame.com/rocom/波波拉,https://lokewangguoshijie.com/pokemon/NO.009_波波拉.webp
NO.010,水灵,水,最终形态,原始形态,125,58,127,94,132,85,浸润,使用水系技能后，全技能能耗-1。,防反|等价交换|升龙咆哮|集中|反击拳|火焰护盾|虚化|蜡质膜|雪替身|掩护|虹光冲击|离子震荡|魅惑|冥想|淤泥表皮|毒沼|水弹枪|羽翼庇护,防御|拍击|甩水|气泡|魔法增效|水泡盾|水炮|洗礼|泡沫幻影|涌泉|落雨|潮汐|天洪|蜡质膜|火焰护盾|水弹枪|虹光冲击|离子震荡|淤泥表皮|雪替身|升龙咆哮|集中|毒沼|掩护|反击拳|羽翼庇护|魅惑|虚化|等价交换|冥想|魔能爆|借用|有效预防|嗜痛|吓退|水波术|冰天雪地|冰墙|冷风|寒风吹|速冻|多维击打,借用|冰墙|冰天雪地|冷风|吓退|嗜痛|多维击打|寒风吹|有效预防|水波术|突袭|速冻|魔能爆,火|地|机械,草|电,火|机械,草|冰|龙,https://wiki.biligame.com/rocom/水灵,https://lokewangguoshijie.com/pokemon/NO.010_水灵.webp
