no,name,relation,target_attribute
NO.001,迪莫,strong_against,恶
NO.001,迪莫,strong_against,幽
NO.001,迪莫,weak_against,幽
NO.001,迪莫,weak_against,草
NO.001,迪莫,resist,恶
NO.001,迪莫,resist,幻
NO.001,迪莫,resisted,草
NO.001,迪莫,resisted,冰
NO.002,喵喵,strong_against,水
NO.002,喵喵,strong_against,地
NO.002,喵喵,strong_against,光
NO.002,喵喵,weak_against,火
NO.002,喵喵,weak_against,冰
NO.002,喵喵,weak_against,毒
NO.002,喵喵,weak_against,虫
NO.002,喵喵,weak_against,翼
NO.002,喵喵,resist,水
NO.002,喵喵,resist,地
NO.002,喵喵,resist,电
NO.002,喵喵,resist,光
NO.002,喵喵,resisted,火
NO.002,喵喵,resisted,龙
NO.002,喵喵,resisted,毒
NO.002,喵喵,resisted,虫
NO.002,喵喵,resisted,翼
NO.002,喵喵,resisted,机械
NO.003,喵呜,strong_against,水
NO.003,喵呜,strong_against,地
NO.003,喵呜,strong_against,光
NO.003,喵呜,weak_against,火
NO.003,喵呜,weak_against,冰
NO.003,喵呜,weak_against,毒
NO.003,喵呜,weak_against,虫
NO.003,喵呜,weak_against,翼
NO.003,喵呜,resist,水
NO.003,喵呜,resist,地
NO.003,喵呜,resist,电
NO.003,喵呜,resist,光
NO.003,喵呜,resisted,火
NO.003,喵呜,resisted,龙
NO.003,喵呜,resisted,毒
NO.003,喵呜,resisted,虫
NO.003,喵呜,resisted,翼
NO.003,喵呜,resisted,机械
NO.004,魔力猫,strong_against,水
NO.004,魔力猫,strong_against,地
NO.004,魔力猫,strong_against,光
NO.004,魔力猫,weak_against,火
NO.004,魔力猫,weak_against,冰
NO.004,魔力猫,weak_against,毒
NO.004,魔力猫,weak_against,虫
NO.004,魔力猫,weak_against,翼
NO.004,魔力猫,resist,水
NO.004,魔力猫,resist,地
NO.004,魔力猫,resist,电
NO.004,魔力猫,resist,光
NO.004,魔力猫,resisted,火
NO.004,魔力猫,resisted,龙
NO.004,魔力猫,resisted,毒
NO.004,魔力猫,resisted,虫
NO.004,魔力猫,resisted,翼
NO.004,魔力猫,resisted,机械
NO.005,火花,strong_against,草
NO.005,火花,strong_against,冰
NO.005,火花,strong_against,虫
NO.005,火花,strong_against,机械
NO.005,火花,weak_against,水
NO.005,火花,weak_against,地
NO.005,火花,resist,草
NO.005,火花,resist,冰
NO.005,火花,resist,虫
NO.005,火花,resist,机械
NO.005,火花,resist,萌
NO.005,火花,resisted,水
NO.005,火花,resisted,地
NO.005,火花,resisted,龙
NO.006,焰火,strong_against,草
NO.006,焰火,strong_against,冰
NO.006,焰火,strong_against,虫
NO.006,焰火,strong_against,机械
NO.006,焰火,weak_against,水
NO.006,焰火,weak_against,地
NO.006,焰火,resist,草
NO.006,焰火,resist,冰
NO.006,焰火,resist,虫
NO.006,焰火,resist,机械
NO.006,焰火,resist,萌
NO.006,焰火,resisted,水
NO.006,焰火,resisted,地
NO.006,焰火,resisted,龙
NO.007,火神,strong_against,草
NO.007,火神,strong_against,冰
NO.007,火神,strong_against,虫
NO.007,火神,strong_against,机械
NO.007,火神,weak_against,水
NO.007,火神,weak_against,地
NO.007,火神,resist,草
NO.007,火神,resist,冰
NO.007,火神,resist,虫
NO.007,火神,resist,机械
NO.007,火神,resist,萌
NO.007,火神,resisted,水
NO.007,火神,resisted,地
NO.007,火神,resisted,龙
NO.008,水蓝蓝,strong_against,火
NO.008,水蓝蓝,strong_against,地
NO.008,水蓝蓝,strong_against,机械
NO.008,水蓝蓝,weak_against,草
NO.008,水蓝蓝,weak_against,电
NO.008,水蓝蓝,resist,火
NO.008,水蓝蓝,resist,机械
NO.008,水蓝蓝,resisted,草
NO.008,水蓝蓝,resisted,冰
NO.008,水蓝蓝,resisted,龙
NO.009,波波拉,strong_against,火
